NAME,S1901_C01_012E,state,county
"Yellowstone County, Montana",79283,30,111
"Douglas County, Nebraska",74250,31,055
"Lancaster County, Nebraska",66289,31,109
"Sarpy County, Nebraska",98603,31,153
"Clark County, Nevada",70797,32,003
"Washoe County, Nevada",80125,32,031
"Cheshire County, New Hampshire",77757,33,005
"Grafton County, New Hampshire",82045,33,009
"Hillsborough County, New Hampshire",96921,33,011
"Merrimack County, New Hampshire",84690,33,013
"Rockingham County, New Hampshire",107442,33,015
"Strafford County, New Hampshire",83119,33,017
"Atlantic County, New Jersey",77248,34,001
"Bergen County, New Jersey",114336,34,003
"Burlington County, New Jersey",100478,34,005
"Camden County, New Jersey",81768,34,007
"Cape May County, New Jersey",84870,34,009
"Cumberland County, New Jersey",60755,34,011
"Essex County, New Jersey",74994,34,013
"Gloucester County, New Jersey",98301,34,015
"Hudson County, New Jersey",83056,34,017
"Hunterdon County, New Jersey",142518,34,019
"Mercer County, New Jersey",95668,34,021
"Middlesex County, New Jersey",102400,34,023
"Monmouth County, New Jersey",118194,34,025
"Morris County, New Jersey",131795,34,027
"Ocean County, New Jersey",81101,34,029
"Passaic County, New Jersey",79955,34,031
"Salem County, New Jersey",77898,34,033
"Somerset County, New Jersey",135577,34,035
"Sussex County, New Jersey",113640,34,037
"Union County, New Jersey",98028,34,039
"Warren County, New Jersey",98867,34,041
"Bernalillo County, New Mexico",65075,35,001
"Doña Ana County, New Mexico",51967,35,013
"Lea County, New Mexico",58150,35,025
"McKinley County, New Mexico",45636,35,031
"Otero County, New Mexico",54093,35,035
"Sandoval County, New Mexico",83639,35,043
"San Juan County, New Mexico",50264,35,045
"Santa Fe County, New Mexico",72544,35,049
"Valencia County, New Mexico",48638,35,061
"Albany County, New York",77049,36,001
"Bronx County, New York",45517,36,005
"Broome County, New York",60616,36,007
"Cattaraugus County, New York",50508,36,009
"Cayuga County, New York",64031,36,011
"Chautauqua County, New York",55457,36,013
"Chemung County, New York",55845,36,015
"Clinton County, New York",66152,36,019
"Dutchess County, New York",90889,36,027
"Erie County, New York",70044,36,029
"Jefferson County, New York",56423,36,045
"Kings County, New York",73951,36,047
"Madison County, New York",69986,36,053
"Monroe County, New York",67923,36,055
"Nassau County, New York",136984,36,059
"New York County, New York",95866,36,061
"Niagara County, New York",63441,36,063
"Oneida County, New York",64316,36,065
"Onondaga County, New York",70968,36,067
"Ontario County, New York",76424,36,069
"Orange County, New York",89037,36,071
"Oswego County, New York",58984,36,075
"Putnam County, New York",111102,36,079
"Queens County, New York",80557,36,081
"Rensselaer County, New York",83109,36,083
"Richmond County, New York",93164,36,085
"Rockland County, New York",100397,36,087
"St. Lawrence County, New York",59683,36,089
"Saratoga County, New York",93301,36,091
"Schenectady County, New York",74765,36,093
"Steuben County, New York",60204,36,101
"Suffolk County, New York",119838,36,103
"Sullivan County, New York",63777,36,105
"Tompkins County, New York",74034,36,109
"Ulster County, New York",80372,36,111
"Warren County, New York",69865,36,113
"Wayne County, New York",71079,36,117
"Westchester County, New York",108144,36,119
"Alamance County, North Carolina",59919,37,001
"Brunswick County, North Carolina",72820,37,019
"Buncombe County, North Carolina",68019,37,021
"Burke County, North Carolina",62267,37,023
"Cabarrus County, North Carolina",78857,37,025
"Caldwell County, North Carolina",51592,37,027
"Carteret County, North Carolina",66799,37,031
"Catawba County, North Carolina",62981,37,035
"Chatham County, North Carolina",77906,37,037
"Cleveland County, North Carolina",51470,37,045
"Craven County, North Carolina",63964,37,049
"Cumberland County, North Carolina",58110,37,051
"Davidson County, North Carolina",63741,37,057
"Durham County, North Carolina",80089,37,063
"Forsyth County, North Carolina",62319,37,067
"Franklin County, North Carolina",73182,37,069
"Gaston County, North Carolina",65615,37,071
"Guilford County, North Carolina",63475,37,081
"Harnett County, North Carolina",65778,37,085
"Henderson County, North Carolina",63552,37,089
"Iredell County, North Carolina",71943,37,097
"Johnston County, North Carolina",81725,37,101
"Lee County, North Carolina",56540,37,105
"Lincoln County, North Carolina",79003,37,109
"Mecklenburg County, North Carolina",80365,37,119
"Moore County, North Carolina",85382,37,125
"Nash County, North Carolina",54175,37,127
"New Hanover County, North Carolina",70485,37,129
"Onslow County, North Carolina",62460,37,133
"Orange County, North Carolina",89291,37,135
"Pender County, North Carolina",76922,37,141
"Pitt County, North Carolina",57049,37,147
"Randolph County, North Carolina",55671,37,151
"Robeson County, North Carolina",38610,37,155
"Rockingham County, North Carolina",51310,37,157
"Rowan County, North Carolina",61311,37,159
"Surry County, North Carolina",44485,37,171
"Union County, North Carolina",94168,37,179
"Wake County, North Carolina",96806,37,183
"Wayne County, North Carolina",55588,37,191
"Wilkes County, North Carolina",45508,37,193
"Wilson County, North Carolina",50267,37,195
"Burleigh County, North Dakota",81893,38,015
"Cass County, North Dakota",66747,38,017
